,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
30,4.31726336479187,0.42624539594869054,0.4631816546122233,0.03328263294549445,10,4,poly,"{'C': 10, 'degree': 4, 'kernel': 'poly'}",-0.14069438093383993,-0.14155378999816737,-0.14755739936740309,-0.14326852343313679,0.003052920849460776,20
31,2.261223077774048,0.0838674812688993,1.1887526512145996,0.01805272825943759,10,4,rbf,"{'C': 10, 'degree': 4, 'kernel': 'rbf'}",-0.13961933438685353,-0.13917461550089658,-0.14523322986286077,-0.14134239325020362,0.0027572209295686004,1
32,3.7167601585388184,0.17209242910505845,1.5979467233022053,0.1637070702418888,10,4,sigmoid,"{'C': 10, 'degree': 4, 'kernel': 'sigmoid'}",-11.801522702443526,-12.597643607226642,-12.177289446021668,-12.192151918563946,0.3251848639115135,41
33,3.5451387564341226,0.19405766358886517,0.45111529032389325,0.01763115219802126,10,5,poly,"{'C': 10, 'degree': 5, 'kernel': 'poly'}",-0.1407102112606512,-0.14096857568414228,-0.14773360457869636,-0.1431374638411633,0.003251673446421069,17
34,2.1366610527038574,0.10421757633279058,1.2276108264923096,0.06716792579771952,10,5,rbf,"{'C': 10, 'degree': 5, 'kernel': 'rbf'}",-0.13961933438685353,-0.13917461550089658,-0.14523322986286077,-0.14134239325020362,0.0027572209295686004,1
35,3.77632729212443,0.06586020786942061,1.501861333847046,0.01705074069714959,10,5,sigmoid,"{'C': 10, 'degree': 5, 'kernel': 'sigmoid'}",-11.801522702443526,-12.597643607226642,-12.177289446021668,-12.192151918563946,0.3251848639115135,41
36,6.879613478978475,0.2132212498079149,0.49449507395426434,0.03479113298297031,20,2,poly,"{'C': 20, 'degree': 2, 'kernel': 'poly'}",-0.14023421013195037,-0.14099210893617423,-0.1469793072928453,-0.14273520878698995,0.0030169390387072394,14
37,3.062597115834554,0.620030441293568,2.0444486141204834,0.3272788296321964,20,2,rbf,"{'C': 20, 'degree': 2, 'kernel': 'rbf'}",-0.13988486108515252,-0.1391238136192396,-0.14563005547375363,-0.14154624339271524,0.0029043575475790856,5
38,6.449250141779582,0.9965907672009024,2.7892954349517822,0.9334927576523538,20,2,sigmoid,"{'C': 20, 'degree': 2, 'kernel': 'sigmoid'}",-23.623854477325725,-25.19327457841323,-24.352930394503186,-24.390019816747383,0.6412496042136193,45
39,6.136742194493611,0.8785454301098896,0.4419076442718506,0.004263208224785721,20,3,poly,"{'C': 20, 'degree': 3, 'kernel': 'poly'}",-0.14070888808474805,-0.14208295349599562,-0.14758592385084426,-0.14345925514386262,0.0029714261336360316,21
40,2.4719693660736084,0.212892785184632,1.1616970698038738,0.028466097574743953,20,3,rbf,"{'C': 20, 'degree': 3, 'kernel': 'rbf'}",-0.13988486108515252,-0.1391238136192396,-0.14563005547375363,-0.14154624339271524,0.0029043575475790856,5
41,3.940870920817057,0.1222654857948698,1.573421796162923,0.0634971110854773,20,3,sigmoid,"{'C': 20, 'degree': 3, 'kernel': 'sigmoid'}",-23.623854477325725,-25.19327457841323,-24.352930394503186,-24.390019816747383,0.6412496042136193,45
42,4.362467288970947,0.2378983023838306,0.6343112786610922,0.1279898220994351,20,4,poly,"{'C': 20, 'degree': 4, 'kernel': 'poly'}",-0.14069438093391012,-0.1415537899975854,-0.14755256442520776,-0.14326691178556775,0.00305065674846382,19
43,3.4932360649108887,0.30196977100527767,1.9318670431772869,0.1592418771565497,20,4,rbf,"{'C': 20, 'degree': 4, 'kernel': 'rbf'}",-0.13988486108515252,-0.1391238136192396,-0.14563005547375363,-0.14154624339271524,0.0029043575475790856,5
44,5.819188833236694,0.12522801571558195,2.349264939626058,0.2260564634219889,20,4,sigmoid,"{'C': 20, 'degree': 4, 'kernel': 'sigmoid'}",-23.623854477325725,-25.19327457841323,-24.352930394503186,-24.390019816747383,0.6412496042136193,45
45,5.071163654327393,0.7642200583553608,0.6794638633728027,0.13210502387155734,20,5,poly,"{'C': 20, 'degree': 5, 'kernel': 'poly'}",-0.14070246062209116,-0.14097064197150053,-0.14773360457619505,-0.14313556905659558,0.0032531449694786704,16
46,2.974872589111328,0.7888309104587364,1.5570344924926758,0.2697074124981535,20,5,rbf,"{'C': 20, 'degree': 5, 'kernel': 'rbf'}",-0.13988486108515252,-0.1391238136192396,-0.14563005547375363,-0.14154624339271524,0.0029043575475790856,5
47,7.016019185384114,0.7847423050525009,2.737816254297892,1.021047798263247,20,5,sigmoid,"{'C': 20, 'degree': 5, 'kernel': 'sigmoid'}",-23.623854477325725,-25.19327457841323,-24.352930394503186,-24.390019816747383,0.6412496042136193,45
